OBJECTID_1;NG;EG;delta_g0'
1380;356493.778322;326156.755834;582.8800000000047
1381;353344.511532;325212.808849;734.8260000000009
1382;355608.10341;322213.924236;635.0939999999246
1383;353172.97978099994;321851.081243;746.6269999999786
1384;353648.931404;320704.92315;725.6469999999972
1389;357430.626726;322414.682888;550.5219999999972
1390;359607.49237;323280.117759;449.04899999999907
1803;358273.286758;329760.429319;498.64999999990687
1804;356265.881982;331444.596941;590.7410000000382
1805;357526.134054;331645.404432;534.1829999999609
1806;355196.291046;331045.708092;639.6169999999693
1807;356632.653892;333674.155209;575.9750000000931
1808;355789.397339;332491.964496;615.5590000000084
1809;354928.144245;334029.567793;653.3800000000047
1810;354574.892432;335777.402596;671.6940000000177
1811;354047.922853;334850.243705;692.7249999999767
1812;358122.72858700005;338159.264701;509.82400000002235
1813;357721.063571;340075.444167;526.9189999999944
1814;354403.44178;340243.927222;674.5690000000177
1815;357117.548486;335902.822277;556.155999999959
1816;358876.185376;334899.458375;476.3309999998892
1818;359098.48228699993;340177.516608;462.4049999999115
1820;357219.321143;327984.912888;547.6460000000661
1821;353526.194028;330870.487622;717.8519999999553
1822;358276.880748;332999.319266;501.7200000000885
1823;359769.244324;329445.483433;431.7709999999497
1824;354826.024235;329450.095927;659.7640000000829
1825;353394.902215;329421.28458;722.0829999999842
1826;355550.40339;328186.55073;624.1539999999804
1827;358232.2642910001;329955.964889;501.1280000000261
1828;358479.086903;328891.152509;490.2850000000326
1829;358178.447062;337177.918224;507.0929999999935
1831;359315.037472;326418.816208;452.87799999990966
1832;354958.425681;325521.929665;656.0800000000745
1833;358321.860166;326426.240238;499.54300000006333
1834;359045.876552;326838.361703;465.0380000000587
1835;353393.88997399993;324797.368981;732.8490000000456
1840;354855.42577;333440.466814;659.9350000000559
1841;353735.351137;333552.939852;707.7939999999944
1842;359643.821259;339190.7891;439.6620000000112
1843;355859.885323;340006.709281;611.5130000000354
1844;354320.038127;339704.828658;679.9660000000149
1845;355133.801152;337015.53167;646.497999999905
1846;355696.4338729999;338088.167611;620.2120000000577
1857;358506.036944;320429.208251;507.48499999998603
1874;357684.627146;321997.877899;539.9710000000196
1875;358873.629989;321362.15105199994;490.39299999992363
1876;359816.629342;322790.92873300007;438.18800000008196
1884;358734.266463;346214.069465;468.0009999999311
1885;357188.101686;340892.931607;551.8790000000736
1886;358092.155169;347301.830674;495.91399999998976
1887;357023.067594;343888.038837;550.1319999999832
1888;356674.106142;343745.1564740001;566.1920000000391
2922;357650.201406;339574.860922;530.4100000000326
2923;358366.275883;337948.102941;498.201999999932
2932;354780.384875;339874.560839;657.9419999999227
2933;356416.729413;344206.288619;576.8790000000736
2934;355340.387234;343985.702701;626.9020000000019
2935;352288.752789;339372.491906;771.4679999999935
2936;351847.15975799994;343382.69085699995;783.5720000000438
2937;351948.207148;344317.712202;778.9440000000177
2938;352379.832774;346260.426479;762.2119999999413
2939;354076.293618;343941.804136;685.5289999999804
2948;359477.487688;345490.848261;434.6850000000559
2951;358729.60767;344979.001578;470.38000000000466
3200;355882.222204;345922.581384;598.7519999999786
3201;359679.085352;346349.674096;422.65500000002794
3202;352539.336333;347593.013322;750.7750000000233
3204;354624.787995;350134.282791;648.5750000000698
3205;358190.981907;348602.582568;486.2850000000326
3206;357059.388504;350143.515695;536.7179999999935
3207;358194.15464600007;349550.655876;484.59799999999814
3208;358183.920438;347896.219781;488.88300000003073
3209;357720.317795;347549.341074;512.2029999999795
3211;359370.306026;348695.173734;432.1610000000801
4502;335608.722956;327277.088984;1505.125
4503;335430.741556;330037.880751;1508.6230000000214
4504;336508.872561;328676.34085100004;1466.359999999986
4505;337641.893433;329078.658458;1417.1389999999665
4506;337246.446088;331353.287493;1427.2859999999637
4507;333618.578744;324764.601977;1585.1720000000205
4508;332494.447029;329198.204653;1635.826000000001
4510;329917.2279049999;325905.447582;1744.5299999999115
4511;334700.724633;327743.309821;1543.551000000094
4513;332447.056292;324364.16426;1634.3080000000773
4514;338271.4144339999;330451.811214;1388.1900000000605
4515;333095.150515;326592.613806;1604.3349999999627
4516;330999.833624;328288.843995;1696.7789999999804
4517;331235.490423;326897.174467;1686.457000000053
4518;331064.54866;327556.665576;1693.7519999999786
4519;334519.332016;329440.712239;1548.4579999999842
4520;331113.141163;327437.914405;1691.701000000001
4524;333361.293637;330593.752156;1599.2690000000875
4525;335478.720292;332082.354215;1510.0899999999674
4526;332684.725733;331982.058891;1624.5540000000037
4527;331195.744298;335564.176716;1698.4009999999544
4529;332275.932969;338038.025948;1695.5520000000251
4532;330361.226991;341490.398586;1740.7550000000047
4535;331517.211107;335920.730811;1684.4679999999935
4537;336058.757433;328969.711104;1484.2320000000764
4538;337300.852002;333386.851905;1426.3420000000624
4539;336585.769586;332122.579085;1456.5420000000158
4540;335751.036631;329359.04374600004;1496.3499999999767
4541;337606.354645;334340.586156;1412.3830000000307
4542;338136.557126;336985.7022589999;1378.7270000000717
4543;333973.210859;331663.35633399995;1570.85699999996
4545;334702.0210499999;333075.704682;1541.621999999974
4546;340749.970963;327464.60394;1280.9610000000102
4547;343485.588064;326749.31023;1169.5999999999767
4548;345107.646486;325961.476777;1097.2710000000661
4549;346368.525875;325261.36716;1043
4550;345269.758843;324687.82181;1096.6310000000522
4551;347302.211761;326751.81898100005;1001.2469999999739
4552;341416.272903;322416.364307;1263.2090000000317
4553;341792.203266;324027.864056;1245.0069999999832
4554;344599.797974;327233.8643240001;1132.4449999999488
4555;343414.62156199996;328595.498679;1172.7409999999218
4556;337461.5469329999;325001.533834;1424.170999999973
4557;336045.808541;324595.081632;1483.5960000000196
4558;339194.83352;325771.3753559999;1351.201999999932
4559;340575.02402600006;326610.195063;1288.564000000013
4560;341652.24137700006;328116.2934600001;1242.5650000000605
4561;345949.705544;331462.340575;1051.1339999999618
4562;342330.768874;327560.582849;1218.9250000000466
4563;340806.730329;324888.51979;1288.2480000000214
4564;345985.762571;329970.225066;1056.658000000054
4565;343384.95131199993;329603.684789;1171.7580000000307
4566;343452.335147;325318.751317;1172.3589999999385
4567;349475.048652;330683.54153999995;900.2110000000102
4568;349627.403465;330663.593883;893.3179999999702
4569;341454.869867;328601.330216;1249.6169999999693
4570;338213.491925;327961.413407;1396.216000000015
4571;339223.768303;331071.28916;1350.2149999999674
4572;338997.79254;332298.456329;1353.988000000012
4573;339216.720382;329438.88608;1350.0550000000512
4574;340238.785545;328743.870119;1303.363000000012
4575;342478.789142;330023.850716;1205.4649999999674
4576;343858.994454;332665.122637;1144.6080000000075
4577;340369.862569;332288.815557;1297.332000000053
4578;343600.568839;333173.335383;1160.89300000004
4579;343936.24549;335964.146759;1143.1110000000335
4580;342699.590098;334489.936101;1199.780000000028
4581;345929.75674;332720.115835;1052.1429999999236
4582;348454.86305800005;332583.20392799994;945.3349999999627
4583;348619.764278;331598.713863;940.4070000000065
4584;348561.0969;330734.673659;941.2939999999944
4585;349734.790732;330804.541711;888.2690000000875
4586;346324.391319;326968.23432;1041.9740000000456
4587;350707.96478;327225.08732;847.3070000000298
4588;332174.384629;337199.88251;1666.7539999999572
4590;331947.860057;339260.123325;1737.6690000001108
4591;334120.002718;342590.388097;1573.5130000000354
4592;332712.414293;338786.29824100004;1715.8510000000242
4593;332062.066008;343589.631743;1680.6020000000717
4594;336760.028952;347108.284765;1467.6650000000373
4595;331784.12601500005;345468.463514;1684.6659999999683
4596;338073.98575;349388.440172;1400.4790000000503
4597;330136.157306;347125.3050110001;1746.420999999973
4598;331032.179794;344138.794706;1710.0209999999497
4599;334198.805209;346712.511054;1573.457000000053
4600;331533.326088;350112.51612;1676.6920000000391
4601;331565.687295;344799.237741;1694.7660000000615
4602;335142.930497;342389.455031;1524.219999999972
4603;337548.102795;349191.185492;1423.4189999999944
4604;334294.081833;347293.492089;1565.515000000014
4605;335757.714709;348100.655955;1505.5580000000773
4606;332750.597233;349535.686386;1627.9419999999227
4607;330331.246512;347374.728242;1735.5069999999832
4608;330854.110504;345142.789953;1716.5960000000196
4609;330862.720344;345304.932604;1716.048999999999
4610;336498.770384;349108.595101;1468.75
4611;339015.642928;349229.850407;1360.1460000000661
4612;338494.422625;346832.979275;1383.5969999999506
4615;330719.651687;347987.693256;1720.798999999999
4616;330879.245656;345961.687474;1713.0199999999022
4617;331548.75744;344614.741784;1696.8090000000084
4618;334663.030723;341835.087422;1550.8379999999888
4619;336599.458036;340193.648748;1523.7569999999832
4620;336035.315313;340826.737375;1509.8660000000382
4621;334185.49886;339121.275336;1608.5169999999925
4622;333836.523953;339543.817449;1607.0520000000251
4623;337065.81846900005;345234.526017;1447.5219999999972
4624;335116.765632;345221.348129;1544.2999999999302
4625;330227.084395;338516.438812;1750.7519999999786
4626;334287.2676;339851.021208;1595.3649999999907
4627;332303.731493;342128.089926;1677.4459999999963
4628;334338.883815;342764.281084;1562.1209999999264
4629;330916.479787;341693.815022;1719.4120000000112
4630;342951.112137;345098.349393;1179.9249999999302
4631;345982.675359;348464.114788;1042.655999999959
4632;343138.701292;343563.981029;1173.640000000014
4633;348991.89256899996;344797.059093;911.1770000000251
4634;345675.700782;340345.21906699997;1060.2610000000568
4635;344449.411694;343360.071646;1113.7789999999804
4636;341361.565199;341533.03175;1249.4490000000224
4637;345960.437652;347726.4331980001;1042.863000000012
4638;346473.173631;343852.607572;1025.1520000000019
4639;347679.56609;345231.95539;973.1790000000037
4640;346938.563611;345860.55559;1002.1509999999544
4641;346007.957453;346305.07531;1040.886999999988
4642;340579.970156;339466.036872;1282.515000000014
4643;340717.763572;341354.613331;1279.1990000000224
4644;340942.047492;338775.387454;1265.4139999999898
4645;341932.588466;336654.277688;1229.488000000012
4646;343436.317267;341768.087729;1161.9560000000056
4647;342443.461058;340805.715045;1201.3810000000522
4648;341586.403459;337088.565989;1239.0590000000084
4649;337961.307053;341596.154578;1408.185999999987
4650;339648.3875559999;345513.810598;1331.423999999999
4651;338754.234132;342382.59444099996;1370.0289999999804
4652;336646.795766;344493.407236;1466.6940000000177
4654;342434.60395;349424.855197;1204.8939999999711
4655;344555.848579;349129.261834;1108.3329999999842
4656;341140.656191;346629.082979;1263.1119999999646
4657;341879.569169;346530.702084;1229.378000000026
4658;337807.999115;344507.552762;1415.4130000000587
4659;338684.845202;346895.131818;1375.2669999999925
4660;341758.782048;344102.804451;1235.0720000000438
4661;343067.782985;343125.034621;1176.0849999999627
4662;339050.462746;338122.365747;1350.3390000000363
4663;340029.935285;341540.52751;1312.4769999999553
4664;338987.305788;338888.71413399995;1352.060999999987
4665;336425.509443;337131.179413;1472.7859999999637
4666;336296.257325;339093.83879;1564.2360000000335
4667;342269.399699;344014.255894;1211.53600000008
4668;335060.536109;339493.596384;1602.3710000000428
4669;340015.114752;342328.3814;1309.8829999999143
4670;337506.246155;340998.06445;1464.4960000000428
4671;335629.163213;337020.250502;1525.792999999947
4672;338110.959769;339052.055925;1398.0529999999562
4681;354028.615613;320806.50427;708.155999999959
4682;350929.423696;322005.639285;848.3460000000196
4691;349893.127387;320432.706531;899.2600000000093
4692;351637.3795730001;322387.182412;815.7310000000289
4693;352538.948366;322236.009332;774.1980000000913
4694;349716.3853830001;324768.433502;897.2770000000019
4695;347913.051392;324952.792097;974.8969999999972
4696;345042.711061;320954.216675;1109.1689999999944
4698;343599.381124;320374.850612;1174.4869999999646
4699;346169.889656;320598.717258;1058.4419999999227
4701;347267.445152;321577.64248;1014.8219999999274
4702;347018.741418;320853.364319;1027.7119999999413
4703;343337.784619;320643.205703;1183.6650000000373
4704;347220.634734;325343.279456;1011.4120000000112
4705;347441.41977;323845.883131;1009.625
4706;351719.558683;325162.538725;807.6620000000112
4707;349851.611175;322605.063661;897.6130000000121
4708;350859.296268;325686.199871;845.7119999999413
4709;350626.713552;326443.908467;854.6909999999916
4710;348201.607638;324162.568366;967.3079999999609
4711;354687.824796;326219.238169;667.8339999999152
4712;352494.38085300004;323295.498113;774.4070000000065
4713;352170.23740899994;322148.242952;790.3190000000177
4719;344849.14701499994;321677.807243;1113.908000000054
4725;340958.397943;326280.256446;1277.378000000026
4726;339002.680453;322379.01722399995;1363.5259999999544
4727;341403.192958;321728.707924;1264.8249999999534
4728;341221.555637;322534.916133;1271.1010000000242
4729;342115.448003;323480.612849;1233.734000000055
4730;339044.499112;326564.217687;1363.384999999893
4731;337042.845425;323275.338045;1445.4919999999693
4732;338705.853651;323385.27020200004;1376.826999999932
4733;336060.675573;320404.797881;1487.8830000000307
4735;337650.750909;320266.20337199996;1426.4760000000242
4737;343369.220955;322644.501733;1182.033999999985
4738;344036.490356;323861.820823;1150.6319999999832
4739;344414.365943;322435.017247;1133.765000000014
4741;340467.504241;322505.012091;1308.216999999946
4742;338029.206032;322388.007817;1404.5370000000112
4743;339086.887557;322357.660311;1359.030999999959
4744;341536.476812;322570.28692;1258.1990000000224
4747;340565.26991499995;321193.1635380001;1302.2870000000112
4754;335375.335575;325034.712526;1511.1779999999562
4755;330486.323773;322548.211469;1717.1060000000289
4756;334258.67148600006;322520.047162;1565.701000000001
4757;336021.435004;323703.423624;1489.341999999946
4758;335852.173034;335490.989658;1483.1649999999208
4759;337988.397946;335224.553755;1393.500999999931
4760;346602.041613;332230.193384;1024
4761;352490.621605;335559.78348499996;760.4660000000149
4762;351980.878013;334641.853002;789.7359999999171
4763;349768.31839;335411.309488;882.9470000000438
4764;347956.901861;333260.03019799996;972.1030000000028
4765;346795.618006;335490.688057;1013.7810000000754
4766;348099.860417;334950.59679999994;958.0509999999776
4767;347673.543402;335799.75899;976.2090000000317
4768;344462.346776;338940.742259;1117.2489999999525
4769;338449.988239;341452.780731;1388.155000000028
4770;338114.586131;343109.640716;1402.3110000001034
4771;337167.200039;342366.400204;1445.8340000000317
4772;337887.020198;344269.456757;1412.4790000000503
4774;340586.53916200006;347268.096399;1288.6570000000065
4775;336079.870207;332789.76898199995;1483.121999999974
4776;338661.758709;333532.66908;1369.7390000000596
4777;338805.974461;336544.763083;1355.7960000000894
4778;333065.511265;334315.883411;1607.390000000014
4779;331219.43732300005;333056.002755;1721.423999999999
4782;331360.3964530001;335970.26625;1691.6960000001127
4783;331183.385263;334814.930237;1693.8009999999776
4784;335806.57977;334399.884404;1486.7550000000047
4785;336088.697083;337355.604697;1511.4739999999292
4786;336211.399803;338894.662752;1564.7449999999953
4787;333485.203261;336833.610302;1600.2750000000233
4788;339157.497441;336819.353232;1336.4679999999935
4789;341220.694206;334757.164393;1263.0969999999506
4790;340419.72561100003;336217.625278;1293.3610000000335
4791;339514.876104;338711.21413;1327.0499999999302
4792;351331.87832;326034.732685;825.2630000000354
4793;349754.886429;324762.2065309999;895.5720000000438
4794;348393.223424;325061.929242;955.4640000000363
4795;348906.0531620001;326768.613996;929.3240000000224
4796;351806.183202;330518.553268;795.3669999999693
4797;349574.980016;327359.002785;902.7909999999683
4798;351617.082316;329281.583884;804.7719999999972
4799;351415.868555;329889.095378;814.515000000014
4800;351249.434267;332794.143142;823.8960000000661
4801;350380.111282;330566.436124;858.4100000000326
4802;341136.302999;334196.03295599995;1266.9280000000726
4803;344890.944536;335246.269974;1099.1670000000158
4804;340523.8653100001;333594.334833;1291.6900000000605
4805;341014.320847;335386.671291;1267.5920000000624
4806;342947.573398;335533.774643;1189.3669999999693
4807;341421.9541769999;335458.841347;1254.9449999999488
4808;343078.807806;332151.82655;1181.780000000028
4809;342838.91089799994;331896.678155;1192.719999999972
4810;341794.409486;338274.690985;1228.689000000013
4811;342329.85469;338376.829788;1205.9299999999348
4812;340506.913734;336254.953065;1291.1169999999693
4813;346114.668362;334274.21789;1044.4899999999907
4814;345268.948925;335463.2618890001;1080.2920000000158
4815;346771.869453;338809.668364;1014.0179999999236
4816;347920.787942;341405.325174;962.0799999999581
4817;344165.494389;337633.275283;1129.966000000015
4818;348935.542487;338835.476716;919.1310000000522
4819;348551.412429;339355.877523;935.219000000041
4820;347124.201202;342010.088969;993.0840000000317
4821;348804.506746;342309.094888;918.1599999999162
4823;340623.910099;347735.671414;1286.7749999999069
4824;335744.868793;347389.061913;1507.4169999998994
4825;352122.863666;342283.339094;774.7870000000112
4826;350417.298337;342096.264194;848.1759999999776
4827;350632.954118;343842.296989;838.7229999999981
4828;349879.858006;344242.557861;867.8279999999795
4829;350008.297599;345204.472478;861.6939999999013
4830;347480.439799;343352.657418;980.1849999999395
4831;351068.564419;345828.596892;815.2330000000075
4832;351131.593182;343861.440658;815.2210000000196
4833;349411.489814;346362.3994110001;888.6450000000186
4834;346253.689174;345217.025544;1030.4470000000438
4835;353161.3913920001;348806.929918;719.1010000000242
4836;350252.650386;347676.731468;851.0079999999143
4837;349169.313086;345546.791183;901.8420000000624
4838;345294.201137;349356.809087;1075.2869999998948
4839;344796.036099;346725.164689;1096.4920000000857
4840;350553.189195;347879.553338;837.2559999999357
4845;329987.534789;339001.556808;1758.9679999999935
4851;330372.7366129999;344937.725639;1734.5679999999702
4854;330209.6038820001;348567.44619;1740.667999999947
4865;349910.987658;336393.755085;874.859999999986
4866;352438.149085;331084.435863;765.9769999999553
4867;350040.295101;331323.14519199997;874.4000000000233
4868;351347.942362;334394.461753;818.655999999959
4869;349251.733733;336699.235809;909.9490000000224
4870;350061.785101;334128.55643699993;873.9180000000633
4871;354045.02791;340667.067354;688.8919999999925
4872;349916.19860500004;340191.798205;877.8699999999953
4873;350193.342697;339475.618979;866.1870000000345
4874;352224.429253;344597.632275;766.3270000000484
4875;350442.641779;338674.647571;852.1269999999786
4876;353169.434501;342702.932849;725.1389999999665
4877;351846.357306;343480.366682;784.7530000000261
4878;350272.193985;349471.57498900004;850.4899999999907
4879;343940.250179;347739.133861;1135.9139999999898
4880;347203.207419;348270.414404;987.9610000000102
4881;349443.764839;349750.194795;885.3839999999618
4882;347576.323114;347084.749847;972.362000000081
4883;347562.379936;348690.446531;971.4949999999953
4884;330241.944704;335174.617098;1738.5840000000317
4896;330931.756078;323675.967744;1698.4370000000345
4903;329923.645913;323454.715539;1742.9479999999749
4914;330194.314582;321613.05526699993;1736.0200000000186
4915;331094.189621;321653.168634;1696.0570000000298
4916;333731.872437;324584.35963;1581.0190000000875
4917;334840.248761;323276.95046;1539.4960000000428
4924;331630.330864;323858.989895;1668.1489999999758
4925;336154.034938;321770.895922;1481.765000000014
4940;332718.68266;320607.254828;1631.9949999999953
4944;332368.309863;323215.183569;1637.5029999999097
4945;330243.141181;347171.33044800005;1740.5549999999348
4947;339747.149838;349937.68725;1333.6450000000186
4956;336765.507824;350113.240193;1455.3839999999618
4958;338528.156514;349233.920771;1381.0229999999283
4966;333877.140698;349313.588891;1579.3049999999348
4967;335289.760697;349932.992388;1518.6030000000028
5110;344359.514015;349419.648011;1118.1879999999655
5140;346972.930408;350153.237196;998.935999999987
